Player,team,Age,Pos,dominant_hand,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,TB,GIDP,SH,SF,IBB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,WAR,Awards
Gabriel Moreno,diamondbacks,24.0,C,Right,97.0,351.0,305.0,39.0,81.0,18.0,1.0,5.0,45.0,3.0,1.0,41.0,52.0,2.0,116.0,10.0,0.0,3.0,1.0,0.266,0.353,0.38,0.734,104.0,0.327,105.0,2.6,
Christian Walker,diamondbacks,33.0,1B,Right,130.0,552.0,479.0,72.0,120.0,26.0,0.0,26.0,84.0,2.0,2.0,55.0,133.0,10.0,224.0,12.0,0.0,8.0,4.0,0.251,0.335,0.468,0.803,120.0,0.34,116.0,2.6,GG
Ketel Marte,diamondbacks,30.0,2B,Both,136.0,583.0,504.0,93.0,147.0,23.0,2.0,36.0,95.0,7.0,1.0,65.0,106.0,5.0,282.0,9.0,0.0,9.0,7.0,0.292,0.372,0.56,0.932,154.0,0.396,155.0,6.8,ASMVP-3SS
Geraldo Perdomo,diamondbacks,24.0,SS,Both,98.0,388.0,337.0,61.0,92.0,21.0,2.0,3.0,37.0,9.0,1.0,36.0,58.0,3.0,126.0,5.0,7.0,5.0,0.0,0.273,0.344,0.374,0.718,100.0,0.328,104.0,3.5,
Eugenio Suárez,diamondbacks,32.0,3B,Right,158.0,640.0,571.0,90.0,146.0,28.0,2.0,30.0,101.0,2.0,1.0,49.0,176.0,9.0,268.0,10.0,0.0,11.0,0.0,0.256,0.319,0.469,0.788,115.0,0.34,115.0,3.1,
Lourdes Gurriel Jr.,diamondbacks,30.0,LF,Right,133.0,553.0,513.0,72.0,143.0,22.0,2.0,18.0,75.0,7.0,1.0,29.0,101.0,6.0,223.0,16.0,0.0,5.0,1.0,0.279,0.322,0.435,0.757,108.0,0.329,106.0,2.0,
Corbin Carroll,diamondbacks,23.0,CF,Left,158.0,684.0,589.0,121.0,136.0,22.0,14.0,22.0,74.0,35.0,8.0,73.0,130.0,10.0,252.0,3.0,3.0,9.0,0.0,0.231,0.322,0.428,0.749,106.0,0.333,106.0,3.4,
Jake McCarthy,diamondbacks,26.0,RF,Left,142.0,495.0,442.0,66.0,126.0,13.0,7.0,8.0,56.0,25.0,6.0,31.0,78.0,14.0,177.0,4.0,5.0,3.0,1.0,0.285,0.349,0.4,0.749,108.0,0.335,107.0,1.7,
Joc Pederson,diamondbacks,32.0,DH,Left,132.0,449.0,367.0,62.0,101.0,17.0,1.0,23.0,64.0,7.0,4.0,55.0,105.0,18.0,189.0,5.0,1.0,3.0,2.0,0.275,0.393,0.515,0.908,150.0,0.388,151.0,2.9,
Kevin Newman,diamondbacks,30.0,MI,Right,111.0,311.0,288.0,41.0,80.0,17.0,1.0,3.0,28.0,8.0,1.0,15.0,48.0,0.0,108.0,7.0,6.0,2.0,1.0,0.278,0.311,0.375,0.686,90.0,0.313,92.0,2.2,
Randal Grichuk,diamondbacks,32.0,RF,Right,106.0,279.0,254.0,40.0,74.0,20.0,2.0,12.0,46.0,0.0,0.0,20.0,46.0,3.0,134.0,5.0,0.0,2.0,0.0,0.291,0.348,0.528,0.875,139.0,0.377,142.0,2.2,
Blaze Alexander,diamondbacks,25.0,IF,Right,61.0,185.0,166.0,19.0,41.0,7.0,0.0,3.0,21.0,3.0,1.0,15.0,49.0,3.0,57.0,1.0,1.0,0.0,0.0,0.247,0.321,0.343,0.664,85.0,0.301,87.0,0.0,
Josh Bell,diamondbacks,31.0,1B,Both,41.0,162.0,140.0,24.0,39.0,5.0,1.0,5.0,22.0,0.0,1.0,17.0,32.0,1.0,61.0,9.0,0.0,0.0,0.0,0.279,0.361,0.436,0.796,120.0,0.349,125.0,0.3,
Pavin Smith,diamondbacks,28.0,UT,Left,60.0,158.0,137.0,26.0,37.0,11.0,0.0,9.0,36.0,1.0,0.0,18.0,31.0,0.0,75.0,4.0,0.0,3.0,0.0,0.27,0.348,0.547,0.896,144.0,0.382,145.0,0.6,
José Herrera,diamondbacks,27.0,C,Both,42.0,114.0,97.0,11.0,22.0,4.0,1.0,1.0,13.0,0.0,0.0,9.0,27.0,0.0,31.0,1.0,7.0,1.0,0.0,0.227,0.29,0.32,0.609,70.0,0.272,64.0,-0.2,
Alek Thomas,diamondbacks,24.0,CF,Left,39.0,103.0,95.0,13.0,18.0,5.0,1.0,3.0,17.0,4.0,1.0,7.0,17.0,0.0,34.0,7.0,1.0,0.0,0.0,0.189,0.245,0.358,0.603,65.0,0.283,71.0,0.0,
Tucker Barnhart,diamondbacks,33.0,C,Left,31.0,96.0,81.0,13.0,14.0,3.0,0.0,0.0,6.0,1.0,0.0,13.0,31.0,0.0,17.0,0.0,2.0,0.0,0.0,0.173,0.287,0.21,0.497,42.0,0.252,49.0,0.3,
Adrian Del Castillo,diamondbacks,24.0,C,Left,25.0,87.0,80.0,12.0,25.0,5.0,0.0,4.0,19.0,1.0,1.0,7.0,28.0,0.0,42.0,1.0,0.0,0.0,0.0,0.313,0.368,0.525,0.893,145.0,0.379,146.0,0.5,
Luis Guillorme,diamondbacks,29.0,2B,Left,18.0,49.0,37.0,6.0,6.0,2.0,0.0,0.0,4.0,3.0,0.0,11.0,8.0,0.0,8.0,2.0,0.0,1.0,0.0,0.162,0.347,0.216,0.563,62.0,0.292,70.0,0.3,
Jace Peterson,diamondbacks,34.0,IF,Left,14.0,26.0,22.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.045,0.154,0.045,0.199,-40.0,0.114,-48.0,-0.6,
Jorge Barrosa,diamondbacks,23.0,OF,Both,8.0,18.0,17.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.176,0.176,0.294,0.471,28.0,0.213,9.0,0.0,
Scott McGough,diamondbacks,34.0,P,Right,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-136.0,0.0,
Justin Martínez,diamondbacks,22.0,P,Right,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Joe Mantiply,diamondbacks,33.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Bryce Jarvis,diamondbacks,26.0,P,Left,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
A.J. Puk,diamondbacks,29.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Paul Sewald,diamondbacks,34.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Kevin Ginkel,diamondbacks,30.0,P,Left,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Luis Frías,diamondbacks,26.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Ryan Thompson,diamondbacks,32.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
