Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Yainer Diaz,25,C,3.3,148,619,585,70,175,29,3,16,84,2,0,24,107,.299,.325,.441,.766,116,.339,120,258,22,2,0,8,1,2D3/H,,diazya02
2,Jon Singleton*,32,1B,0.3,119,405,355,46,83,13,1,13,42,0,0,47,111,.234,.321,.386,.707,101,.317,105,137,2,0,0,3,0,3HD,,singljo02
3,Jose Altuve,34,2B,3.4,153,682,628,94,185,31,0,20,65,22,7,47,119,.295,.350,.439,.790,124,.348,126,276,15,7,0,0,2,*4/DH,ASMVP-15SS,altuvjo01
4,Jeremy Peña,26,SS,4.1,157,650,602,78,160,28,2,15,70,20,6,25,111,.266,.308,.394,.701,99,.311,99,237,15,14,3,6,1,*6,,penaje02
5,Alex Bregman,30,3B,4.1,145,634,581,79,151,30,2,26,75,3,1,44,86,.260,.315,.453,.768,116,.334,117,263,13,5,0,4,1,*5/D,GG,bregmal01
6,Mauricio Dubón,29,LF,1.1,137,428,402,45,108,25,0,4,47,3,2,16,55,.269,.296,.361,.657,87,.289,85,145,6,2,3,5,0,7483H95/6,,dubonma01
7,Jake Meyers,28,CF,1.7,148,513,461,51,101,20,3,13,61,11,3,35,117,.219,.286,.360,.646,83,.288,83,166,17,10,3,4,0,*8H/7D,,meyerja02
8,Kyle Tucker*,27,RF,4.7,78,339,277,56,80,13,0,23,49,11,0,56,54,.289,.408,.585,.993,179,.426,179,162,5,1,0,2,3,9/DH,AS,tuckeky01
9,Yordan Alvarez*,27,DH,5.4,147,635,552,88,170,34,2,35,86,6,0,69,95,.308,.392,.567,.959,170,.406,169,313,14,10,0,4,16,D7,ASMVP-9,alvaryo01
10,Victor Caratini#,30,C,1.3,87,274,245,30,66,8,1,8,30,0,1,23,53,.269,.336,.408,.744,111,.325,113,100,6,3,0,3,1,2H3/D,,caratvi01
11,Chas McCormick,29,OF,-0.6,94,267,242,32,51,6,1,5,27,8,2,17,72,.211,.271,.306,.576,64,.274,71,74,3,4,1,3,0,798/H,,mccorch01
12,José Abreu,37,1B,-1.7,35,120,113,10,14,2,0,2,7,0,0,4,28,.124,.167,.195,.361,3,.163,-5,22,4,2,0,1,0,3/H,,abreujo02
13,Joey Loperfido*,25,OF,0.3,38,118,106,11,25,5,1,2,16,2,1,7,43,.236,.299,.358,.658,87,.289,85,38,1,3,1,1,0,79/H83D,,loperjo01
14,Trey Cabbage*,27,RF,-0.1,45,91,86,12,18,8,0,1,8,1,1,4,34,.209,.253,.337,.590,67,.255,63,29,1,1,0,0,0,9H7/D,,cabbatr01
15,Ben Gamel*,32,OF,0.2,20,69,58,13,15,3,0,1,4,0,0,11,17,.259,.377,.362,.739,113,.328,113,21,0,0,0,0,1,9/7H,,gamelbe01
16,Zach Dezenzo,24,1B,-0.2,19,65,62,5,15,2,0,2,8,0,0,3,22,.242,.277,.371,.648,83,.307,98,23,3,0,0,0,0,3/5DH,,dezenza01
17,Jason Heyward*,34,OF,0.3,24,61,55,8,12,2,0,4,9,1,0,5,17,.218,.283,.473,.756,111,.316,102,26,0,0,0,0,2,9/7H8,,heywaja01
18,Shay Whitcomb,25,IF,-0.4,20,46,41,1,9,3,0,0,5,0,0,5,8,.220,.304,.293,.597,72,.270,72,12,1,0,0,0,0,5/H4,,whitcsh01
19,César Salazar*,28,C,0.2,12,32,25,5,8,2,0,0,8,0,0,2,6,.320,.387,.400,.787,126,.344,125,10,0,2,1,2,0,2/DH,,salazce01
20,Grae Kessinger,26,IF,-0.4,22,25,21,4,0,0,0,0,0,0,0,3,7,.000,.160,.000,.160,-48,.111,-42,0,1,1,0,0,0,/H546D13,,kessigr01
21,Pedro León,26,RF,-0.3,7,21,20,2,2,0,0,0,0,2,0,1,10,.100,.143,.100,.243,-29,.141,-38,2,2,0,0,0,0,/9H,,leonpe01
22,Cooper Hummel#,29,LF,-0.1,6,8,8,0,0,0,0,0,0,1,0,0,2,.000,.000,.000,.000,-100,.143,-42,0,1,0,0,0,0,/H7D,,hummeco01
23,Aledmys Díaz,33,IF,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-124,0,0,0,0,0,0,/34H,,diazal02
24,Jacob Amaya,25,2B,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/4,,amayaja01
25,Bryan King,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kingbr02
26,Josh Hader*,30,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,haderjo01
27,Ryan Pressly,35,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pressry01
,Team Totals,,,26.3,161,6107,5530,740,1448,264,16,190,701,93,24,448,1176,.262,.322,.418,.741,110,.326,111,2314,132,67,12,46,28,,,-9999
