Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Shea Langeliers,26,C,2.9,137,534,482,58,108,18,2,29,80,4,2,41,145,.224,.288,.450,.739,111,.321,111,217,15,5,0,6,2,*2/HD,,langesh01
2,Tyler Soderstrom*,22,1B,0.5,61,213,189,18,44,10,0,9,26,0,0,20,53,.233,.315,.429,.743,114,.330,118,81,7,3,0,1,1,3/H2,,soderty01
3,Zack Gelof,24,2B,1.4,138,547,497,60,105,20,2,17,49,25,3,38,188,.211,.270,.362,.632,82,.286,80,180,7,4,3,5,0,*4/H,,gelofza01
4,Max Schuemann,27,SS,0.8,133,459,396,55,87,14,0,7,34,14,1,47,119,.220,.311,.308,.619,82,.292,86,122,8,7,5,4,0,65/4H789,,schuema01
5,Abraham Toro#,27,3B,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,.240,.293,.350,.643,87,.285,85,118,4,5,2,0,1,54DH/37,,toroab01
6,Miguel Andujar,29,LF,0.4,75,319,302,31,86,14,1,4,30,3,2,13,42,.285,.320,.377,.697,103,.308,103,114,10,3,0,1,0,7/D3H,,andujmi01
7,JJ Bleday*,26,CF,2.1,159,642,572,74,139,43,4,20,60,2,3,67,125,.243,.324,.437,.762,120,.333,121,250,8,2,1,0,2,*8H/D,,bledajj01
8,Lawrence Butler*,23,RF,3.0,125,451,412,63,108,24,2,22,57,18,0,35,108,.262,.317,.490,.807,131,.357,130,202,8,0,0,4,0,*9H/8,,butlela01
9,Brent Rooker,29,DH,5.6,145,614,546,82,160,26,2,39,112,11,3,59,177,.293,.365,.562,.927,165,.399,166,307,5,5,0,4,4,*D/79H,MVP-10SS,rookebr01
10,Seth Brown*,31,UT,-0.6,124,400,372,32,86,11,1,14,44,4,2,25,112,.231,.283,.379,.662,91,.291,90,141,7,2,0,1,0,739H/D8,,brownse01
11,Tyler Nevin,27,CI,-0.2,87,278,245,22,50,10,0,7,20,1,0,25,64,.204,.288,.331,.618,80,.279,80,81,5,5,0,3,0,359H7/D,,nevinty01
12,Daz Cameron,27,OF,-0.5,66,186,170,22,34,5,1,5,15,5,0,13,51,.200,.258,.329,.587,70,.268,69,56,3,1,0,2,0,79H8/D,,camerda01
13,Kyle McCann*,26,C,0.2,54,157,140,13,33,4,0,5,15,0,0,16,59,.236,.318,.371,.690,101,.305,100,52,2,1,0,0,1,2/HD,,mccanky01
14,J.D. Davis,31,CI,-0.1,39,135,123,12,29,4,0,4,5,0,0,9,30,.236,.304,.366,.670,94,.292,91,45,3,3,0,0,0,35/DH,,davisjd01
15,Darell Hernaiz,22,IF,-0.8,48,135,120,8,23,3,0,1,12,1,1,11,27,.192,.261,.242,.503,48,.235,51,29,4,1,1,2,0,56/H4,,hernada04
16,Brett Harris,26,3B,-0.5,36,123,103,15,15,3,0,3,12,0,3,17,25,.146,.276,.262,.539,59,.253,71,27,3,2,0,1,0,5/H,,harribr02
17,Ryan Noda*,28,1B,-0.6,36,111,95,8,13,4,0,1,4,0,0,14,37,.137,.255,.211,.465,38,.222,40,20,0,1,1,0,0,3/H9D,,nodary01
18,Nick Allen,25,SS,0.2,41,105,97,6,17,4,0,1,4,0,0,5,20,.175,.216,.247,.463,35,.215,33,24,0,0,3,0,0,6/5H4,,allenni02
19,Jacob Wilson,22,SS,-0.2,28,103,92,11,23,2,2,0,3,0,0,8,10,.250,.314,.315,.629,85,.281,82,29,4,1,1,1,0,6/H,,wilsoja05
20,Esteury Ruiz,25,OF,-0.1,29,65,55,10,11,2,1,2,8,5,4,4,20,.200,.270,.382,.652,87,.266,80,21,1,2,2,2,0,7H/8,,ruizes01
21,Armando Alvarez,29,UT,-0.4,16,39,37,7,9,1,0,0,2,1,0,2,8,.243,.282,.270,.552,63,.252,57,10,1,0,0,0,0,/53H74,,alvarar01
22,Aledmys Díaz,33,IF,-0.5,12,30,29,2,3,0,0,0,1,0,0,1,7,.103,.133,.103,.237,-29,.112,-39,3,0,0,0,0,0,/63457H,,diazal02
23,Tristan Gray*,28,CI,0.0,8,24,21,0,3,1,0,0,0,0,0,3,13,.143,.250,.190,.440,31,.212,33,4,0,0,0,0,0,/35H,,graytr01
,Team Totals,,,13.1,162,6034,5432,643,1267,240,19,196,619,98,26,493,1502,.233,.301,.393,.694,101,.308,101,2133,105,53,19,37,11,,,-9999
