Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
1,Gabriel Moreno,24,C,2.6,97,351,305,39,81,18,1,5,45,3,1,41,52,.266,.353,.380,.734,104,.327,105,116,10,2,0,3,1,2H/5,,morenga01
2,Christian Walker,33,1B,2.6,130,552,479,72,120,26,0,26,84,2,2,55,133,.251,.335,.468,.803,120,.340,116,224,12,10,0,8,4,*3/H,GG,walkech02
3,Ketel Marte#,30,2B,6.8,136,583,504,93,147,23,2,36,95,7,1,65,106,.292,.372,.560,.932,154,.396,155,282,9,5,0,9,7,*4D/H6,ASMVP-3SS,marteke01
4,Geraldo Perdomo#,24,SS,3.5,98,388,337,61,92,21,2,3,37,9,1,36,58,.273,.344,.374,.718,100,.328,104,126,5,3,7,5,0,6/H,,perdoge01
5,Eugenio Suárez,32,3B,3.1,158,640,571,90,146,28,2,30,101,2,1,49,176,.256,.319,.469,.788,115,.340,115,268,10,9,0,11,0,*5/D,,suareeu01
6,Lourdes Gurriel Jr.,30,LF,2.0,133,553,513,72,143,22,2,18,75,7,1,29,101,.279,.322,.435,.757,108,.329,106,223,16,6,0,5,1,*7H/D3,,gurrilo01
7,Corbin Carroll*,23,CF,3.4,158,684,589,121,136,22,14,22,74,35,8,73,130,.231,.322,.428,.749,106,.333,106,252,3,10,3,9,0,*89/H,,carroco02
8,Jake McCarthy*,26,RF,1.7,142,495,442,66,126,13,7,8,56,25,6,31,78,.285,.349,.400,.749,108,.335,107,177,4,14,5,3,1,*987H/D,,mccarja02
9,Joc Pederson*,32,DH,2.9,132,449,367,62,101,17,1,23,64,7,4,55,105,.275,.393,.515,.908,150,.388,151,189,5,18,1,3,2,*DH,,pederjo01
10,Kevin Newman,30,MI,2.2,111,311,288,41,80,17,1,3,28,8,1,15,48,.278,.311,.375,.686,90,.313,92,108,7,0,6,2,1,643/H57D,,newmake01
11,Randal Grichuk,32,RF,2.2,106,279,254,40,74,20,2,12,46,0,0,20,46,.291,.348,.528,.875,139,.377,142,134,5,3,0,2,0,9DH7,,grichra01
12,Blaze Alexander,25,IF,0.0,61,185,166,19,41,7,0,3,21,3,1,15,49,.247,.321,.343,.664,85,.301,87,57,1,3,1,0,0,64D/H5,,alexabl01
13,Josh Bell#,31,1B,0.3,41,162,140,24,39,5,1,5,22,0,1,17,32,.279,.361,.436,.796,120,.349,125,61,9,1,0,0,0,3/DH,,belljo02
14,Pavin Smith*,28,UT,0.6,60,158,137,26,37,11,0,9,36,1,0,18,31,.270,.348,.547,.896,144,.382,145,75,4,0,0,3,0,397H/D1,,smithpa04
15,José Herrera#,27,C,-0.2,42,114,97,11,22,4,1,1,13,0,0,9,27,.227,.290,.320,.609,70,.272,64,31,1,0,7,1,0,2/H5D,,herrejo04
16,Alek Thomas*,24,CF,0.0,39,103,95,13,18,5,1,3,17,4,1,7,17,.189,.245,.358,.603,65,.283,71,34,7,0,1,0,0,8/HD,,thomaal01
17,Tucker Barnhart*,33,C,0.3,31,96,81,13,14,3,0,0,6,1,0,13,31,.173,.287,.210,.497,42,.252,49,17,0,0,2,0,0,2/1H,,barnhtu01
18,Adrian Del Castillo*,24,C,0.5,25,87,80,12,25,5,0,4,19,1,1,7,28,.313,.368,.525,.893,145,.379,146,42,1,0,0,0,0,2/H,,delcaad01
19,Luis Guillorme*,29,2B,0.3,18,49,37,6,6,2,0,0,4,3,0,11,8,.162,.347,.216,.563,62,.292,70,8,2,0,0,1,0,4/H5D,,guilllu01
20,Jace Peterson*,34,IF,-0.6,14,26,22,2,1,0,0,0,1,0,0,3,6,.045,.154,.045,.199,-40,.114,-48,1,1,0,0,1,0,/H64D5,,peterja01
21,Jorge Barrosa#,23,OF,0.0,8,18,17,3,3,2,0,0,1,1,0,0,2,.176,.176,.294,.471,28,.213,9,5,0,0,1,0,0,/8H7,,barrojo01
22,Scott McGough,34,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,mcgousc01
23,Justin Martínez,22,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,martiju01
24,Joe Mantiply,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,mantijo01
25,Bryce Jarvis*,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,jarvibr01
26,A.J. Puk*,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pukaj01
27,Paul Sewald,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,sewalpa01
28,Kevin Ginkel*,30,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ginkeke01
29,Luis Frías,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,friaslu01
30,Ryan Thompson,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,thompry02
,Team Totals,,,34.0,162,6284,5522,886,1452,271,37,211,845,119,30,569,1265,.263,.337,.440,.777,114,.341,115,2430,112,84,34,66,17,,,-9999
