Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Patrick Bailey#,25,C,1.8,121,448,401,46,94,16,1,8,46,4,0,39,100,.234,.298,.339,.637,83,.286,84,136,10,0,1,7,0,*2H/D,GG,bailepa01
2,LaMonte Wade Jr.*,30,1B,2.1,117,401,331,45,86,16,0,8,34,2,1,62,90,.260,.380,.381,.761,120,.337,122,126,2,4,1,3,5,3H9/D7,,wadela01
3,Thairo Estrada,28,2B,-0.5,96,381,364,43,79,15,2,9,47,2,2,10,76,.217,.247,.343,.590,68,.263,69,125,8,5,0,2,0,4/DH,,estrath01
4,Tyler Fitzgerald,26,SS,2.8,96,341,314,53,88,19,2,15,34,17,4,22,108,.280,.334,.497,.831,135,.367,140,156,2,4,0,1,0,6H/8471D3,,fitzgty01
5,Matt Chapman,31,3B,7.1,154,647,575,98,142,39,2,27,78,15,2,64,158,.247,.328,.463,.790,124,.351,129,266,13,6,0,2,3,*5/H,MVP-11GG,chapmma01
6,Michael Conforto*,31,LF,1.3,130,488,438,56,104,27,3,20,66,0,1,42,118,.237,.309,.450,.759,115,.326,115,197,16,5,0,3,1,7DH,,confomi01
7,Heliot Ramos,24,CF,2.3,121,518,475,54,128,23,3,22,72,6,1,37,135,.269,.322,.469,.792,124,.349,129,223,12,2,0,4,2,*87/9DH,AS,ramoshe02
8,Mike Yastrzemski*,33,RF,2.1,140,474,428,60,99,16,9,18,57,3,2,38,124,.231,.302,.437,.739,110,.317,108,187,5,6,1,1,1,*9H/81,,yastrmi01
9,Jorge Soler,32,DH,1.0,93,392,341,57,82,23,1,12,40,1,0,44,97,.240,.330,.419,.749,114,.334,119,143,9,3,0,3,0,D/H,,solerjo01
10,Brett Wisely*,25,MI,0.5,91,272,252,25,60,13,1,4,31,2,3,13,65,.238,.278,.345,.623,78,.271,77,87,3,2,2,3,0,46H/538,,wiselbr01
11,Wilmer Flores,32,1B,-0.6,71,242,214,19,44,12,0,4,26,0,0,20,33,.206,.277,.318,.595,71,.274,76,68,5,3,0,5,1,3H/D5,,florewi01
12,Nick Ahmed,34,SS,-0.1,52,172,155,13,36,6,1,1,15,1,1,10,35,.232,.278,.303,.581,68,.263,69,47,6,1,3,3,0,6/H,,ahmedni01
13,Jung Hoo Lee*,25,CF,0.1,37,158,145,15,38,4,0,2,8,2,3,10,13,.262,.310,.331,.641,85,.287,91,48,2,1,0,2,0,8,,leeju01
14,Luis Matos,22,OF,-0.2,45,156,150,14,32,5,0,5,25,0,0,5,24,.213,.237,.347,.584,65,.269,73,52,5,0,0,1,1,98/H7D,,matoslu02
