Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Bo Naylor*,24,C,0.7,123,389,354,39,71,10,2,13,39,6,3,29,122,.201,.264,.350,.614,73,.272,71,124,3,2,2,2,1,*2H/D,,naylobo01
2,Josh Naylor*,27,1B,1.5,152,633,563,84,137,27,0,31,108,6,2,58,105,.243,.320,.456,.776,118,.336,117,257,17,7,0,4,7,*3D/H,AS,naylojo01
3,Andrés Giménez*,25,2B,4.0,152,633,583,64,147,22,1,9,63,30,5,26,97,.252,.298,.340,.638,82,.294,81,198,11,15,3,6,1,*4,GG,gimenan01
4,Brayan Rocchio#,23,SS,1.9,143,442,383,50,79,18,0,8,36,10,6,44,90,.206,.298,.316,.614,76,.281,78,121,11,8,2,5,1,*6/H,,rocchbr01
5,José Ramírez#,31,3B,6.8,158,682,620,114,173,39,2,39,118,41,7,54,82,.279,.335,.537,.872,143,.376,140,333,9,1,0,6,12,*5D,ASMVP-5SS,ramirjo01
6,Steven Kwan*,26,LF,4.0,122,540,480,83,140,16,3,14,44,12,5,53,51,.292,.368,.425,.793,126,.352,128,204,5,5,2,0,0,*7/DH,ASGG,kwanst01
7,Tyler Freeman,25,CF,0.9,118,383,330,48,69,14,1,7,32,11,6,28,53,.209,.305,.321,.626,79,.288,83,106,15,19,3,3,1,8H6/54D,,freemty01
8,Will Brennan*,26,RF,-0.2,114,353,330,37,87,13,2,8,30,4,2,19,48,.264,.309,.388,.697,97,.307,96,128,9,3,0,1,2,97HD/8,,brennwi02
9,David Fry,28,DH,1.4,122,392,335,44,88,18,1,14,51,4,1,42,84,.263,.356,.448,.804,128,.352,128,150,13,9,0,4,4,DH237/59,AS,fryda01
10,Daniel Schneemann*,27,UT,0.7,73,221,193,17,42,10,2,5,22,3,2,25,70,.218,.303,.368,.671,91,.297,90,71,1,0,0,3,0,6589H/47D,,schneda04
11,Jhonkensy Noel,22,RF,1.0,67,198,179,25,39,7,1,13,28,0,0,13,63,.218,.288,.486,.774,115,.333,114,87,1,5,0,1,0,9H/3D7,,noeljh01
12,Lane Thomas,28,CF,-0.2,53,187,172,23,36,10,0,7,23,4,2,12,65,.209,.267,.390,.657,85,.280,76,67,1,2,0,1,1,89/HD,,thomala02
13,Ángel Martínez#,22,OF,0.1,43,169,151,16,35,7,0,3,11,3,1,15,33,.232,.298,.338,.635,81,.286,80,51,2,0,1,2,0,87/9H5D4,,martian02
14,Gabriel Arias,24,IF,-0.4,53,161,153,15,34,9,1,3,15,5,2,6,53,.222,.255,.353,.608,71,.273,71,54,4,1,0,1,0,56/4H38D79,,ariasga01
15,Kyle Manzardo*,23,DH,0.0,53,156,145,11,34,12,0,5,15,0,0,9,41,.234,.282,.421,.703,97,.307,96,61,3,1,0,1,0,DH/3,,manzaky01
16,Austin Hedges,31,C,-0.6,66,146,132,12,20,3,0,2,15,2,0,6,50,.152,.203,.220,.422,21,.199,14,29,2,3,3,2,0,2/1,,hedgeau01
17,Estevan Florial*,26,OF,0.1,36,111,98,11,17,6,2,3,11,2,1,11,41,.173,.264,.367,.631,78,.275,73,36,2,1,1,0,0,79D/H8,,flories01
18,Ramón Laureano,29,OF,0.0,31,83,70,7,10,3,0,1,4,3,1,7,32,.143,.265,.229,.494,43,.248,52,16,1,5,0,1,0,98/H,,laurera01
19,Johnathan Rodríguez,24,RF,-0.4,13,40,31,6,4,1,0,0,5,0,0,9,14,.129,.325,.161,.486,46,.250,55,5,1,0,0,0,0,9/H7D,,rodrijo10
20,Myles Straw,29,CF,-0.1,7,4,4,2,1,0,0,0,0,2,0,0,0,.250,.250,.250,.500,44,.348,38,1,0,0,0,0,0,/8HD,,strawmy01
21,José Tena*,23,3B,-0.1,3,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-124,0,0,0,0,0,0,/5DH,,tenajo01
22,Spencer Howard,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,howarsp01
23,Hunter Gaddis,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,gaddihu01
24,Pedro Avila,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,avilape01
,Team Totals,,,20.9,161,5927,5310,708,1263,245,18,185,670,148,46,466,1196,.238,.307,.395,.703,99,.312,98,2099,111,87,17,43,30,,,-9999
