Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Cal Raleigh#,27,C,4.7,153,628,546,73,120,16,0,34,100,6,1,70,176,.220,.312,.436,.748,118,.324,117,238,7,6,0,6,4,*2D/H,MVP-12GG,raleica01
2,Ty France,29,1B,-0.2,88,340,300,28,67,14,0,8,31,0,1,28,83,.223,.312,.350,.662,96,.300,102,105,11,11,0,1,0,3/H4D,,francty01
3,Jorge Polanco#,30,2B,1.3,118,469,417,43,89,11,0,16,45,4,2,46,137,.213,.296,.355,.651,92,.294,96,148,16,4,0,2,3,*4/DH,,polanjo01
4,J.P. Crawford*,29,SS,2.7,105,451,392,55,79,16,2,9,37,5,0,52,102,.202,.304,.321,.625,85,.286,89,126,4,6,0,1,0,6/HD,,crawfjp01
5,Josh Rojas*,30,3B,2.2,142,476,422,48,95,19,2,8,31,10,4,46,108,.225,.304,.336,.641,90,.289,92,142,6,3,1,2,1,*5H4/713D,,rojasjo01
6,Randy Arozarena,29,LF,1.0,54,239,199,32,46,14,0,5,23,4,3,28,68,.231,.356,.377,.733,117,.334,127,75,4,11,0,1,0,7/8D,,arozara01
7,Julio Rodríguez,23,CF,4.3,143,613,567,76,155,17,0,20,68,24,5,38,156,.273,.325,.409,.734,115,.334,121,232,10,6,0,2,1,*8D/H,,rodriju01
8,Mitch Haniger,33,RF,-0.2,121,423,380,42,79,12,0,12,44,0,0,40,126,.208,.286,.334,.620,83,.281,87,127,10,2,0,1,0,9DH,,hanigmi01
9,Mitch Garver,33,DH,-0.1,114,430,367,37,63,17,0,15,51,0,0,53,133,.172,.286,.341,.627,85,.282,88,125,9,7,0,3,0,D2/H,,garvemi01
10,Luke Raley*,29,UT,3.2,137,455,404,58,98,19,2,22,58,11,2,27,135,.243,.320,.463,.783,128,.346,131,187,2,20,2,2,0,739H/8D,,raleylu01
11,Dylan Moore,31,UT,2.2,135,441,368,53,74,23,4,10,42,32,6,53,123,.201,.320,.367,.687,103,.322,109,135,8,14,1,5,1,6547H3/8,GG,mooredy01
12,Víctor Robles,27,OF,3.1,77,262,229,41,75,20,0,4,26,30,1,16,44,.328,.393,.467,.860,153,.400,155,107,2,10,5,2,0,897/HD,,roblevi01
13,Justin Turner,39,1B,1.2,48,190,159,22,42,7,0,5,24,0,0,20,35,.264,.363,.403,.766,127,.341,130,64,1,7,0,4,2,3D/H5,,turneju01
14,Dominic Canzone*,26,RF,0.2,67,188,168,20,33,7,0,8,17,1,0,18,53,.196,.271,.381,.652,90,.290,92,64,5,0,0,2,2,97H/D,,canzodo01
15,Luis Urías,27,3B,0.4,41,109,94,11,18,7,0,4,16,0,0,9,34,.191,.303,.394,.696,104,.307,106,37,2,6,0,0,0,5/HD,,uriaslu01
16,Leo Rivas#,26,SS,0.3,43,86,73,10,17,1,1,0,8,3,0,10,24,.233,.333,.274,.607,83,.290,87,20,1,1,2,0,0,6H4/D15,,rivasle01
17,Ryan Bliss,24,2B,0.4,33,71,63,10,14,3,1,2,9,5,3,5,22,.222,.290,.397,.687,101,.292,98,25,1,1,2,0,0,4H/D,,blissry01
18,Tyler Locklear,23,1B,-0.3,16,49,45,3,7,1,0,2,3,1,0,3,20,.156,.224,.311,.536,56,.241,55,14,3,1,0,0,0,3/H,,locklty01
19,Seby Zavala,30,C,-0.3,18,43,39,4,6,2,0,1,2,0,0,3,16,.154,.214,.282,.496,45,.221,43,11,2,0,1,0,0,2,,zavalse01
20,Jonatan Clase#,22,LF,-0.2,19,43,41,4,8,1,0,0,3,3,0,2,14,.195,.233,.220,.452,35,.221,32,9,1,0,0,0,0,7/H8D,,clasejo01
21,Jason Vosler*,30,UT,-0.1,10,30,28,2,5,1,1,0,3,0,0,2,9,.179,.233,.286,.519,53,.229,50,8,0,0,0,0,0,/3DH79,,vosleja01
22,Sam Haggerty#,30,OF,-0.3,8,16,15,1,1,0,0,0,1,1,0,1,4,.067,.125,.067,.192,-41,.114,-43,1,0,0,0,0,0,/7H9D,,haggesa01
23,Cade Marlowe*,27,OF,0.0,8,9,8,1,2,0,0,0,0,0,0,1,1,.250,.333,.250,.583,77,.275,82,2,1,0,0,0,0,/98HD,,marloca01
24,Samad Taylor,25,OF,0.1,3,5,5,2,2,0,0,0,0,0,0,0,1,.400,.400,.400,.800,138,.338,128,2,0,0,0,0,0,/78H,,taylosa04
25,Luis Castillo,31,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-118,0,0,0,0,0,0,1,,castilu02
26,Ryne Stanek,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,stanery01
27,Trent Thornton,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,thorntr01
28,Austin Voth,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,vothau01
29,Mike Baumann,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,baumami01
,Team Totals,,,25.6,162,6067,5330,676,1195,228,13,185,642,140,28,571,1625,.224,.311,.376,.687,102,.310,106,2004,106,116,14,34,14,,,-9999
