Rk,Player,Age,Pos,WAR,G,PA,AB,R,H▼,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Gunnar Henderson*,23,SS,9.1,159,719,630,118,177,31,7,37,92,21,4,78,159,.281,.364,.529,.893,155,.385,157,333,2,7,0,4,1,*6/D,ASMVP-4,hendegu01
2,Adley Rutschman#,26,C,3.4,148,638,571,68,143,21,1,19,79,1,0,58,103,.250,.318,.391,.709,105,.313,107,223,9,2,0,7,3,2D/H,AS,rutscad01
3,Anthony Santander#,29,RF,2.9,155,665,595,91,140,25,2,44,102,2,0,58,129,.235,.308,.506,.814,131,.346,131,301,9,7,0,5,3,*9D/3H,ASMVP-14SS,santaan02
4,Ryan Mountcastle,27,1B,2.6,124,507,473,54,128,30,2,13,63,3,0,27,114,.271,.308,.425,.733,110,.323,114,201,13,1,0,6,0,*3H/D,,mountry01
5,Colton Cowser*,24,LF,3.1,153,561,499,77,121,24,3,24,69,9,4,52,172,.242,.321,.447,.768,120,.329,119,223,9,7,0,3,2,*789H/D,ROY-2,cowseco01
6,Ryan O'Hearn*,30,DH,2.0,142,494,443,60,117,21,3,15,59,3,1,46,69,.264,.334,.427,.761,119,.337,125,189,7,2,0,3,2,3DH9/7,,ohearry01
7,Jordan Westburg,25,IF,2.4,107,447,416,57,110,26,5,18,63,6,3,22,97,.264,.312,.481,.792,126,.340,127,200,5,7,1,1,0,54/6D,AS,westbjo01
8,Cedric Mullins*,29,CF,2.6,147,499,444,69,104,16,3,18,54,32,6,41,98,.234,.305,.405,.710,104,.322,107,180,1,5,2,2,0,*8H/D,,mullice01
9,Ramón Urías,30,3B,1.5,100,301,272,39,69,9,2,11,37,1,1,23,55,.254,.322,.423,.745,114,.326,117,115,0,5,0,1,0,5/H4D3,,uriasra01
10,James McCann,34,C,0.8,65,233,214,27,50,9,0,8,31,1,0,13,56,.234,.279,.388,.667,91,.293,93,83,3,2,0,4,0,2/1,,mccanja02
11,Jorge Mateo,29,2B,0.9,68,208,192,30,44,14,2,5,18,13,2,10,48,.229,.267,.401,.668,91,.294,87,77,3,1,2,3,0,4/6H8D,,mateojo01
12,Austin Hays,28,LF,0.2,63,175,157,18,40,13,0,3,14,0,1,9,40,.255,.316,.395,.711,105,.316,112,62,1,6,1,2,1,7H/9D,,haysau01
13,Jackson Holliday*,20,2B,0.1,60,208,190,28,36,4,2,5,23,4,0,15,69,.189,.255,.311,.565,63,.265,70,59,1,2,0,1,0,4/H6D,,hollija01
14,Heston Kjerstad*,25,OF,0.4,39,114,99,8,25,2,0,4,14,1,0,10,33,.253,.351,.394,.745,116,.336,123,39,0,5,0,0,2,D7H/9,,kjershe01
15,Eloy Jiménez,27,DH,-0.2,33,100,95,7,22,5,0,1,7,0,0,4,23,.232,.270,.316,.586,70,.276,81,30,2,1,0,0,0,D/H,,jimenel02
16,Emmanuel Rivera,28,3B,0.2,27,73,64,9,20,3,1,4,14,0,0,6,18,.313,.370,.578,.948,170,.392,165,37,2,1,0,2,0,5/3HD,,riverem01
17,Austin Slater,31,OF,0.5,33,79,69,10,17,3,0,1,6,1,1,8,23,.246,.342,.333,.675,98,.311,109,23,2,2,0,0,0,79H/8,,slateau01
18,Kyle Stowers*,26,OF,0.2,19,37,36,3,11,4,0,1,9,0,1,0,13,.306,.297,.500,.797,126,.346,141,18,0,0,0,1,0,/97HD,,stoweky01
19,Connor Norby,24,2B,0.1,9,32,32,3,6,1,0,2,3,0,0,0,12,.188,.188,.406,.594,66,.247,60,13,1,0,0,0,0,/4,,norbyco01
20,Coby Mayo,22,CI,-0.7,17,46,41,4,4,0,0,0,0,0,0,4,22,.098,.196,.098,.293,-11,.153,-7,4,1,1,0,0,0,5/H3,,mayoco01
21,Liván Soto*,24,IF,0.2,12,13,10,1,3,1,0,0,0,0,0,3,2,.300,.462,.400,.862,154,.392,164,4,0,0,0,0,0,/456DH,,sotoli01
22,Ryan McKenna,27,OF,0.1,9,9,8,3,3,0,0,2,2,0,1,1,1,.375,.444,1.125,1.569,335,.563,326,9,0,0,0,0,0,/9H78,,mckenry01
23,Cristian Pache,25,RF,0.1,3,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,485,.795,464,1,0,0,0,0,0,/9H,,pachecr01
24,Tony Kemp*,32,UT,-0.2,5,10,9,1,0,0,0,0,0,0,0,1,1,.000,.100,.000,.100,-67,.069,-67,0,0,0,0,0,0,/4H7,,kempto01
25,Nick Maton*,27,IF,-0.1,5,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-116,0,0,0,0,0,0,/5H4D,,matonni01
26,David Bañuelos,27,,,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/H,,banueda01
27,Daniel Johnson*,28,RF,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/9H,,johnsda07
28,Jacob Webb,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,webbja01
29,Danny Coulombe*,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,couloda01
30,Mike Baumann,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,baumami01
31,Albert Suárez,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,suareal01
32,Seranthony Domínguez,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,dominse01
33,Jonathan Heasley,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,heasljo01
34,Craig Kimbrel,36,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kimbrcr01
,Team Totals,,,31.8,162,6176,5567,786,1391,262,33,235,759,98,25,489,1359,.250,.315,.435,.751,115,.329,118,2424,71,64,6,45,14,,,-9999
