Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Ben Rortvedt*,26,C,0.9,112,328,290,27,66,13,0,3,31,1,0,34,88,.228,.317,.303,.621,80,.287,83,88,6,4,0,0,0,*2H/1,,rortvbe01
2,Yandy Díaz,32,1B,1.6,145,621,563,55,158,31,1,14,65,0,0,50,95,.281,.341,.414,.755,116,.336,119,233,12,4,0,4,0,*3D/H,,diazya01
3,Brandon Lowe*,29,2B,2.4,107,425,385,56,94,19,3,21,58,5,1,33,112,.244,.311,.473,.783,121,.339,120,182,7,5,0,2,2,4D3H,,lowebr01
4,José Caballero,27,SS,1.6,139,483,441,53,100,24,1,9,44,44,16,27,133,.227,.283,.347,.630,80,.292,83,153,6,9,3,3,1,654H/D,,cabaljo01
5,Isaac Paredes,25,3B,2.4,101,429,363,41,89,19,1,16,55,0,1,52,68,.245,.357,.435,.792,127,.349,129,158,13,12,0,2,2,53D/H,AS,paredis01
6,Randy Arozarena,29,LF,0.7,100,409,350,45,74,19,0,15,37,16,7,45,101,.211,.318,.394,.712,104,.316,104,138,3,11,0,3,0,7/8HD,,arozara01
7,Jose Siri,28,CF,1.8,130,448,402,50,75,16,1,18,47,14,7,31,170,.187,.255,.366,.620,76,.272,73,147,5,7,2,4,0,*8/H3D,,sirijo01
8,Josh Lowe*,26,RF,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,.241,.302,.391,.693,98,.315,93,138,2,0,0,2,4,97/HD8,,lowejo01
9,Harold Ramírez,29,DH,0.1,48,169,164,21,44,3,0,1,13,5,2,3,33,.268,.284,.305,.589,70,.267,69,50,2,1,0,1,0,D/H97,,ramirha02
10,Jonny DeLuca,25,OF,0.6,107,362,332,29,72,12,4,6,31,16,6,24,77,.217,.278,.331,.609,75,.279,76,110,1,4,2,0,1,98H7/D,,delucjo01
11,Richie Palacios*,27,UT,1.8,92,316,264,46,59,8,1,5,21,19,1,45,67,.223,.346,.318,.664,94,.318,96,84,5,5,0,1,2,497H/D56,,palacri01
12,Amed Rosario,28,UT,0.5,76,275,264,22,81,17,3,2,26,9,4,7,48,.307,.331,.417,.748,114,.333,116,110,9,3,0,1,0,4956DH,,rosaram01
13,Taylor Walls#,27,SS,1.4,84,252,218,27,40,5,3,1,14,16,4,31,67,.183,.282,.248,.529,55,.251,53,54,3,0,0,3,0,6/HD,,wallsta01
14,Christopher Morel,25,2B,-0.8,49,190,173,13,33,4,2,3,9,1,2,14,56,.191,.258,.289,.547,57,.241,53,50,4,2,0,1,1,4D7/H,,morelch01
15,Junior Caminero,20,3B,0.7,43,177,165,15,41,9,1,6,18,2,0,11,38,.248,.299,.424,.724,105,.315,102,70,2,1,0,0,2,5/D3H,,caminju01
16,Alex Jackson,28,C,-0.4,58,155,139,17,17,7,0,3,12,1,0,12,53,.122,.201,.237,.439,26,.213,29,33,2,2,1,1,0,2/H,,jacksal02
17,Jonathan Aranda*,26,1B,0.7,44,143,128,22,30,7,0,6,14,0,0,12,32,.234,.308,.430,.737,109,.325,111,55,2,2,0,1,0,3DH/45,,arandjo01
18,Curtis Mead,23,IF,-0.5,38,132,122,10,29,3,0,1,7,2,0,6,30,.238,.282,.287,.569,65,.259,61,35,2,2,0,1,0,45/DH3,,meadcu01
19,Dylan Carlson#,25,LF,-0.3,37,127,114,7,25,2,0,3,14,2,0,10,38,.219,.299,.316,.615,78,.281,77,36,0,3,0,0,0,7/H9D,,carlsdy01
20,Austin Shenton*,26,1B,0.1,19,50,42,3,9,5,0,1,3,0,0,8,14,.214,.340,.405,.745,114,.329,114,17,1,0,0,0,0,3/HD,,shentau01
21,René Pinto,27,C,-0.1,19,49,42,5,9,3,0,2,6,0,0,4,18,.214,.292,.429,.720,104,.306,97,18,0,1,1,1,0,2,,pintore02
22,Logan Driscoll*,26,C,-0.1,15,37,35,2,6,0,0,1,5,0,0,1,6,.171,.189,.257,.446,27,.186,11,9,0,0,0,1,0,2,,drisclo01
23,Niko Goodrum#,32,UT,-0.4,9,18,16,1,3,0,0,0,0,0,1,1,6,.188,.235,.188,.423,24,.169,16,3,0,0,1,0,0,/7H346,,goodrni01
24,Kameron Misner*,26,OF,-0.3,8,15,15,0,1,0,0,0,0,0,0,0,10,.067,.067,.067,.133,-61,.060,-79,1,0,0,0,0,0,/7H8,,misneka01
25,Rob Brantly*,34,C,0.0,3,9,9,0,1,0,0,0,0,0,0,0,2,.111,.111,.111,.222,-36,.099,-51,1,0,0,0,0,0,/2,,brantro01
,Team Totals,,,15.0,162,6006,5389,604,1241,245,23,147,564,178,53,493,1485,.230,.302,.366,.669,92,.301,92,1973,87,78,10,32,15,,,-9999
