Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Jacob Stallings,34,C,1.8,82,281,243,31,64,17,1,9,36,0,0,27,65,.263,.357,.453,.810,116,.355,119,110,10,9,1,1,1,2/HD,,stallja01
2,Michael Toglia#,25,1B,2.2,116,458,399,62,87,14,3,25,55,10,1,54,147,.218,.311,.456,.767,102,.334,102,182,7,1,0,3,2,39/7,,toglimi01
3,Brendan Rodgers,27,2B,1.1,135,539,501,67,134,29,1,13,54,1,0,31,132,.267,.314,.407,.721,92,.317,92,204,12,4,1,2,1,*4/DH,,rodgebr02
4,Ezequiel Tovar,22,SS,3.8,157,695,655,83,176,45,4,26,78,6,5,23,200,.269,.295,.469,.763,100,.325,99,307,16,4,5,7,1,*6,MVP-19GG,tovarez01
5,Ryan McMahon*,29,3B,2.5,153,645,567,68,137,28,0,20,65,4,6,69,185,.242,.325,.397,.722,93,.311,90,225,9,3,0,4,4,*5/DH,AS,mcmahry01
6,Nolan Jones*,26,LF,-0.7,79,297,256,28,58,13,1,3,28,5,4,36,91,.227,.321,.320,.641,73,.289,73,82,7,1,1,3,2,7/DH,,jonesno01
7,Brenton Doyle,26,CF,4.0,149,603,542,82,141,24,4,23,72,30,5,46,153,.260,.317,.446,.764,102,.338,102,242,13,3,4,8,1,*8/DH,GG,doylebr02
8,Jake Cave*,31,RF,-0.7,123,346,323,42,81,16,5,7,37,5,2,18,98,.251,.290,.396,.686,82,.297,77,128,6,1,1,3,1,*97H/8D,,caveja01
9,Charlie Blackmon*,37,DH,0.6,124,499,449,59,115,24,5,12,52,6,2,43,86,.256,.329,.412,.741,97,.329,100,185,4,6,0,1,2,D9H/8,,blackch02
10,Elias Díaz,33,C,1.2,84,327,304,26,82,18,0,5,36,0,0,17,64,.270,.315,.378,.693,85,.306,84,115,13,4,0,2,2,2D/H,,diazel01
11,Elehuris Montero,25,1B,-1.7,67,247,224,23,46,10,0,4,28,0,0,20,56,.205,.267,.304,.571,53,.265,54,68,7,0,0,3,0,3D/H,,monteel01
12,Hunter Goodman,24,UT,-0.8,70,224,211,24,40,9,0,13,36,1,1,8,64,.190,.228,.417,.645,68,.270,59,88,5,3,0,2,0,92DH/73,,goodmhu01
13,Jordan Beck,23,LF,-0.8,55,184,170,14,32,6,0,3,13,7,1,12,65,.188,.245,.276,.521,40,.246,36,47,3,1,0,1,1,79/8H,,beckjo01
14,Sam Hilliard*,30,OF,0.5,58,158,138,26,33,5,1,10,27,5,2,14,56,.239,.305,.507,.812,113,.347,113,70,3,0,4,2,1,789/HD,,hillisa01
15,Kris Bryant,32,UT,-0.7,37,155,133,9,29,5,0,2,15,0,0,13,48,.218,.323,.301,.623,69,.292,74,40,6,8,0,1,0,D93,,bryankr01
16,Sean Bouchard,28,OF,-0.6,31,108,91,14,17,7,0,1,8,4,0,12,33,.187,.290,.297,.586,58,.299,73,27,0,2,1,2,0,97/DH,,bouchse01
17,Aaron Schunk,26,IF,0.2,39,98,94,14,22,3,0,2,7,0,1,4,31,.234,.265,.330,.595,59,.260,55,31,0,0,0,0,1,45/H6D,,schunaa01
18,Alan Trejo,28,2B,-0.8,28,67,63,4,9,0,0,0,1,0,0,2,15,.143,.182,.143,.325,-11,.154,-27,9,2,1,1,0,0,4/5H6D,,trejoal01
19,Drew Romo#,22,C,-0.2,16,53,51,4,9,3,0,0,6,0,1,2,18,.176,.208,.235,.443,19,.186,5,12,2,0,0,0,0,2/DH,,romodr01
20,Adael Amador#,21,2B,-0.4,10,36,35,1,6,1,0,0,0,1,0,1,6,.171,.194,.200,.394,6,.210,10,7,1,0,0,0,0,4,,amadoad01
21,Greg Jones#,26,RF,0.1,6,6,5,1,1,0,0,1,1,0,0,1,4,.200,.333,.800,1.133,190,.451,188,4,0,0,0,0,0,/9H,,jonesgr02
22,Nick Mears,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,mearsni01
23,Justin Lawrence,29,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,lawreju01
24,Peter Lambert,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,lambepe01
25,Matt Koch*,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,kochma01
26,Tyler Kinley,33,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kinlety01
27,Seth Halvorsen,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,halvose01
28,Kyle Freeland*,31,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1/H,,freelky01
29,Jeff Criswell,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,criswje01
30,Jalen Beeks*,30,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,beeksja02
31,Victor Vodnik,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,vodnivi01
,Team Totals,,,10.7,162,6026,5454,682,1319,277,25,179,655,85,31,453,1617,.242,.304,.400,.704,87,.310,86,2183,126,51,19,45,20,,,-9999
