Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Salvador Perez,34,C,2.5,158,652,590,58,160,28,0,27,104,0,0,44,129,.271,.330,.456,.786,122,.339,116,269,17,11,0,6,9,23D/H,ASSS,perezsa02
2,Vinnie Pasquantino*,26,1B,1.1,131,554,496,64,130,30,2,19,97,1,0,40,71,.262,.315,.446,.760,114,.328,108,221,12,4,1,13,1,3D/H,,pasquvi01
3,Michael Massey*,26,2B,1.6,100,356,332,45,86,17,2,14,45,1,0,15,56,.259,.294,.449,.743,108,.328,108,149,9,3,2,4,1,4HD,,massemi02
4,Bobby Witt Jr.,24,SS,9.4,161,709,636,125,211,45,11,32,109,31,12,57,106,.332,.389,.588,.977,174,.416,171,374,4,8,0,8,9,*6/D,ASMVP-2GGSS,wittbo02
5,Maikel Garcia,24,3B,1.2,157,626,575,84,133,27,5,7,58,37,2,42,103,.231,.281,.332,.614,75,.287,69,191,7,0,4,5,0,*54H/69,,garcima01
6,MJ Melendez*,25,LF,-0.9,135,451,412,44,85,23,3,17,44,4,4,35,113,.206,.273,.400,.674,89,.290,83,165,3,3,0,0,1,*7H/D93,,melenmj01
7,Kyle Isbel*,27,CF,1.8,136,426,384,62,88,13,8,8,42,11,2,27,88,.229,.287,.367,.654,85,.296,82,141,4,5,8,2,0,*8H,,isbelky01
8,Hunter Renfroe,32,RF,0.0,120,424,385,44,88,18,0,15,52,1,1,36,84,.229,.297,.392,.689,95,.308,94,151,10,2,0,1,0,*9/HD3,,renfrhu01
9,Nelson Velázquez,25,DH,-0.5,64,230,205,31,41,8,1,8,27,2,0,19,61,.200,.274,.366,.640,81,.285,76,75,6,3,0,3,0,D97/H,,velazne01
10,Freddy Fermin,29,C,3.0,111,368,339,40,92,14,0,6,36,2,0,23,66,.271,.319,.366,.685,95,.307,92,124,10,2,1,3,1,2D/H,,fermifr01
11,Adam Frazier*,32,UT,0.3,104,294,262,35,53,10,1,4,22,3,0,22,59,.202,.282,.294,.576,65,.269,64,77,0,7,3,0,0,4H9D7/53,,fraziad01
12,Garrett Hampson,29,CF,0.4,113,231,213,16,49,13,1,0,16,7,2,14,59,.230,.275,.300,.576,65,.259,56,64,3,0,2,2,0,8H74/36951,,hampsga01
13,Nick Loftin,25,IF,0.2,56,171,148,15,28,4,0,1,14,1,0,19,24,.189,.282,.236,.519,51,.258,56,35,4,1,1,2,0,45H/3D71,,loftini01
14,Dairon Blanco,31,LF,0.1,88,132,120,37,31,4,0,4,13,31,7,8,32,.258,.308,.392,.699,98,.327,85,47,2,1,1,1,0,H798D,,blancda02
15,Paul DeJong,30,3B,0.7,37,119,108,15,24,3,0,6,15,0,1,9,44,.222,.277,.417,.694,95,.308,97,45,1,0,0,2,0,5/HD6,,dejonpa01
16,Tommy Pham,36,OF,0.1,23,104,101,9,23,3,1,2,8,1,0,3,27,.228,.250,.337,.587,66,.272,66,34,1,0,0,0,0,7/9D,,phamth01
17,Yuli Gurriel,40,1B,0.1,18,65,54,7,13,3,0,0,6,1,0,9,15,.241,.338,.296,.635,84,.289,78,16,1,0,0,2,0,3/DH,,gourryu01
18,Robbie Grossman#,34,DH,-0.4,16,38,32,2,4,0,0,0,2,0,0,5,13,.125,.263,.125,.388,16,.201,17,4,1,1,0,0,0,D/H79,,grossro01
19,Drew Waters#,25,OF,0.0,7,19,16,2,3,1,0,0,1,0,0,2,6,.188,.316,.250,.566,65,.265,63,4,0,1,0,0,0,/97H,,waterdr01
20,CJ Alexander*,27,3B,-0.2,4,8,8,0,1,0,0,0,0,0,0,0,3,.125,.125,.125,.250,-28,.112,-48,1,0,0,0,0,0,/5DH,,alexacj01
21,Tyler Gentry,25,RF,-0.1,3,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-125,0,0,0,0,0,0,/9H,,gentrty01
22,Kris Bubic*,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bubickr01
23,James McArthur,27,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,mcartja01
24,Hunter Harvey,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,harvehu01
,Team Totals,,,20.3,162,5982,5421,735,1343,264,35,170,711,134,31,429,1161,.248,.306,.403,.710,101,.315,97,2187,95,52,23,54,22,,,-9999
