Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Jake Rogers,29,C,1.0,102,337,310,43,61,16,1,10,36,1,0,22,99,.197,.255,.352,.607,70,.270,69,109,6,3,0,2,1,2/DH,,rogerja03
2,Spencer Torkelson,24,1B,0.3,92,381,342,45,75,21,1,10,37,0,0,33,105,.219,.295,.374,.669,88,.293,86,128,6,4,0,1,0,3/D,,torkesp01
3,Colt Keith*,22,2B,1.1,148,556,516,54,134,15,4,13,61,7,1,36,110,.260,.309,.380,.689,94,.308,95,196,4,2,0,2,2,*4DH,,keithco01
4,Javier Báez,31,SS,-1.1,80,289,272,25,50,12,0,6,37,8,1,12,69,.184,.221,.294,.516,44,.236,41,80,10,2,0,3,1,6/H,,baezja01
5,Gio Urshela,32,3B,-0.3,92,325,300,25,73,10,1,5,37,0,0,19,49,.243,.286,.333,.619,75,.284,79,100,12,1,0,5,1,53/HD,,urshegi01
6,Riley Greene*,23,LF,5.4,137,584,512,82,134,27,6,24,74,4,2,64,156,.262,.348,.479,.827,131,.358,133,245,2,5,0,2,3,7D8/9H,AS,greenri03
7,Parker Meadows*,24,CF,2.2,82,298,270,39,66,12,6,9,28,9,4,25,76,.244,.310,.433,.743,107,.324,108,117,0,1,1,1,0,8/H,,meadopa01
8,Wenceel Pérez#,24,RF,0.7,112,425,389,51,94,16,6,9,37,9,5,32,92,.242,.300,.383,.683,92,.302,93,149,5,1,2,1,0,98H/7D,,perezwe01
9,Justyn-Henry Malloy,24,DH,-0.4,71,230,202,18,41,7,1,8,21,1,1,23,85,.203,.291,.366,.658,85,.289,84,74,2,3,0,2,0,D7H/9,,malloju02
10,Matt Vierling,27,UT,3.0,144,567,518,80,133,28,5,16,57,6,1,41,121,.257,.312,.423,.735,106,.323,106,219,9,3,0,5,1,859H7/D3,,vierlma01
11,Mark Canha,35,UT,0.6,93,377,320,42,74,17,0,7,38,4,0,42,79,.231,.337,.350,.687,95,.320,103,112,9,11,0,4,2,3D79/H,,canhama01
12,Zach McKinstry*,29,IF,0.8,118,325,297,32,64,14,5,4,23,16,0,24,69,.215,.277,.337,.614,73,.288,74,100,3,2,0,2,0,65H479/1D,,mckinza01
13,Kerry Carpenter*,26,RF,2.2,87,296,264,37,75,16,5,18,57,0,2,22,75,.284,.345,.587,.932,157,.386,156,155,5,4,0,3,1,9DH/7,,carpeke01
14,Andy Ibáñez,31,2B,1.4,99,244,224,30,54,9,1,5,32,2,3,15,63,.241,.295,.357,.652,84,.289,86,80,2,3,0,2,0,H453/7D6,,ibanean01
15,Carson Kelly,29,C,0.7,60,203,179,21,43,4,1,7,29,0,0,17,40,.240,.325,.391,.716,102,.315,102,70,3,6,0,1,0,2/HD,,kellyca02
16,Trey Sweeney*,24,SS,0.7,36,119,110,11,24,5,0,4,17,2,0,7,32,.218,.269,.373,.642,79,.290,81,41,3,1,0,1,0,6,,sweentr01
17,Jace Jung*,23,3B,-0.5,34,94,79,14,19,5,0,0,3,0,1,15,29,.241,.362,.304,.665,92,.304,97,24,3,0,0,0,0,5H/D4,,jungja01
18,Dillon Dingler,25,C,-0.3,27,87,84,2,14,5,2,1,11,0,0,3,30,.167,.195,.310,.505,40,.217,31,26,2,0,0,0,0,2,,dingldi01
19,Akil Baddoo*,25,LF,-0.5,31,82,73,7,10,2,2,2,5,1,0,8,27,.137,.220,.301,.521,46,.230,39,22,0,0,0,1,0,7/89H,,baddoak01
20,Bligh Madris*,28,1B,0.2,21,75,67,8,18,3,0,1,5,0,0,6,20,.269,.324,.358,.683,93,.298,89,24,0,0,0,1,0,3/9H,,madribl01
21,Ryan Kreidler,26,SS,-0.5,35,65,59,9,7,0,0,1,2,5,3,6,19,.119,.200,.169,.369,6,.170,1,10,2,0,0,0,0,6/5H78D,,kreidry01
22,Ryan Vilade,25,OF,-0.7,17,49,45,5,8,0,0,1,5,0,0,2,12,.178,.208,.244,.453,28,.218,31,11,2,0,1,1,0,7/98H3,,viladry01
23,Buddy Kennedy,25,IF,0.2,6,13,10,2,2,0,0,1,4,1,0,2,4,.200,.308,.500,.808,123,.350,114,5,0,0,0,1,0,/4H5,,kennebu01
24,Jason Foley,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,foleyja01
25,Mason Englert#,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,englema01
,Team Totals,,,16.2,162,6021,5442,682,1273,244,47,162,656,76,24,476,1461,.234,.300,.385,.685,92,.304,93,2097,90,52,4,41,12,,,-9999
