Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Ryan Jeffers,27,C,2.1,122,465,412,56,93,22,0,21,64,3,0,32,94,.226,.300,.432,.732,103,.322,103,178,9,14,1,6,0,2DH,,jeffery01
2,Carlos Santana#,38,1B,2.5,150,594,521,63,124,26,0,23,71,4,0,65,99,.238,.328,.420,.749,109,.329,108,219,11,6,0,2,3,*3/HD,GG,santaca01
3,Edouard Julien*,25,2B,-0.2,94,301,266,36,53,9,0,8,21,6,0,33,102,.199,.292,.323,.616,74,.288,76,86,2,2,0,0,0,4H/D3,,julieed01
4,Carlos Correa,29,SS,3.7,86,367,319,55,99,20,2,14,54,0,0,40,61,.310,.388,.517,.905,152,.393,155,165,5,3,0,4,4,6/DH,AS,correca01
5,José Miranda,26,3B,1.7,121,429,401,44,114,28,4,9,49,2,2,18,66,.284,.322,.441,.763,112,.333,112,177,13,6,0,4,1,5DH3/6,,miranjo01
6,Manuel Margot,29,LF,-0.9,129,343,315,37,75,17,1,4,31,5,0,21,54,.238,.289,.337,.626,76,.281,72,106,10,3,1,3,0,*79H8/D,,margoma01
7,Byron Buxton,30,CF,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,.279,.335,.524,.859,137,.369,136,186,3,11,0,2,1,8/HD,,buxtoby01
8,Max Kepler*,31,RF,1.0,105,399,368,43,93,21,1,8,42,1,0,22,80,.253,.302,.380,.682,91,.315,98,140,3,5,0,3,0,9H/D,,keplema01
9,Trevor Larnach*,27,DH,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,.259,.338,.434,.771,116,.341,117,154,12,3,0,2,1,7D9H,,larnatr01
10,Willi Castro#,27,UT,1.6,158,635,558,89,138,31,5,12,60,14,9,51,150,.247,.331,.385,.717,102,.326,108,215,8,21,1,4,0,64785/H1,AS,castrwi01
11,Royce Lewis,25,3B,0.7,82,325,292,40,68,16,0,16,47,0,0,28,74,.233,.295,.452,.747,107,.315,99,132,5,0,0,5,2,5D/H4,,lewisro02
12,Christian Vázquez,33,C,-0.2,93,315,294,29,65,10,0,7,27,3,1,11,65,.221,.248,.327,.575,60,.262,60,96,11,1,5,4,0,2/5DH3,,vazquch01
13,Matt Wallner*,26,OF,2.2,75,261,220,26,57,17,1,13,37,3,0,24,95,.259,.372,.523,.894,149,.387,149,115,2,16,0,1,0,97DH/1,,wallnma01
14,Austin Martin,25,OF,-1.0,93,257,233,41,59,18,1,1,16,7,3,20,47,.253,.318,.352,.670,89,.299,87,82,4,2,2,0,0,78H4/D,,martiau01
15,Kyle Farmer,33,IF,-0.3,107,242,215,26,46,13,1,5,25,3,5,19,49,.214,.293,.353,.647,82,.281,80,76,6,6,0,2,1,45H6/13D,,farmeky01
16,Brooks Lee#,23,SS,-0.2,50,185,172,9,38,6,1,3,27,3,0,11,27,.221,.265,.320,.585,64,.256,53,55,6,0,0,2,2,654/HD,,leebr02
17,Alex Kirilloff*,26,UT,-0.6,57,178,159,20,32,8,3,5,20,0,0,15,47,.201,.270,.384,.653,81,.287,79,61,5,1,0,3,0,7D3/H9,,kirilal01
18,DaShawn Keirsey Jr.*,27,CF,0.0,6,14,13,1,2,0,0,1,1,0,0,0,1,.154,.214,.385,.599,64,.254,55,5,0,1,0,0,0,/87,,keirsda01
19,Michael Helman,28,UT,0.1,9,10,10,2,3,2,0,0,0,0,0,0,3,.300,.300,.500,.800,120,.329,109,5,0,0,0,0,0,/8H759,,helmami01
20,Diego Castillo,26,3B,0.2,4,8,6,3,2,1,0,0,2,0,0,2,1,.333,.500,.500,1.000,184,.439,189,3,0,0,0,0,0,/5DH,,castidi02
21,Jair Camargo,24,DH,-0.1,5,7,6,1,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,-54,.098,-57,0,0,0,0,0,0,/2DH,,camarja01
,Team Totals,,,17.0,162,6123,5490,742,1352,309,23,183,702,65,23,473,1306,.246,.315,.411,.726,103,.321,103,2256,115,101,10,47,15,,,-9999
