Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Korey Lee,25,C,0.1,125,394,377,36,79,14,1,12,37,6,3,17,122,.210,.244,.347,.591,67,.264,68,131,12,0,0,0,0,*2H/D,,leeko01
2,Andrew Vaughn,26,1B,0.2,149,619,570,55,140,30,1,19,70,2,0,38,132,.246,.297,.402,.699,98,.305,96,229,13,6,0,5,0,*3D/H,,vaughan01
3,Nicky Lopez*,29,2B,0.2,124,445,398,40,96,12,3,1,21,5,7,37,67,.241,.312,.294,.606,76,.282,83,117,3,4,6,0,0,46/H,,lopezni01
4,Paul DeJong,30,SS,0.2,102,363,337,39,77,14,0,18,41,2,1,14,112,.228,.275,.430,.706,98,.303,95,145,8,9,0,3,0,65/HD,,dejonpa01
5,Lenyn Sosa,24,3B,-0.4,100,369,351,28,89,13,0,8,35,3,1,12,77,.254,.283,.359,.642,83,.282,79,126,5,3,2,1,1,54/H3D,,sosale01
6,Andrew Benintendi*,29,LF,-0.8,135,522,477,50,109,20,0,20,64,3,2,41,96,.229,.289,.396,.685,94,.299,92,189,12,1,0,3,1,*7H/D8,,beninan01
7,Luis Robert Jr.,26,CF,1.4,100,425,393,47,88,19,0,14,35,23,6,28,141,.224,.278,.379,.657,86,.298,88,149,8,2,0,1,2,8/DH,,roberlu01
8,Dominic Fletcher*,26,RF,-0.3,72,241,223,14,46,8,0,1,17,0,0,11,58,.206,.252,.256,.508,46,.225,38,57,5,3,2,1,1,98/H7,,fletcdo01
9,Eloy Jiménez,27,DH,-0.5,65,249,229,18,55,9,0,5,16,3,0,18,47,.240,.297,.345,.642,84,.284,80,79,11,1,0,1,1,D/H9,,jimenel02
10,Gavin Sheets*,28,UT,-1.0,139,501,451,35,105,24,1,10,45,2,2,43,106,.233,.303,.357,.660,89,.292,88,161,6,4,0,3,2,93DH,,sheetga01
11,Tommy Pham,36,OF,0.0,70,297,271,33,72,14,1,5,19,6,3,25,63,.266,.330,.380,.710,103,.327,112,103,2,1,0,0,0,987/HD,,phamth01
12,Corey Julks,28,OF,-1.1,66,189,173,17,37,7,0,3,14,5,2,15,50,.214,.275,.306,.581,67,.261,64,53,6,0,0,1,0,97H/D8,,julksco01
13,Miguel Vargas,24,3B,-1.0,42,157,135,11,14,3,0,2,7,2,1,17,41,.104,.217,.170,.387,13,.205,25,23,3,3,0,2,0,5/D7H,,vargami01
14,Martín Maldonado,37,C,-1.3,48,147,135,9,16,3,0,4,11,0,0,8,51,.119,.174,.230,.403,14,.180,5,31,5,1,3,0,0,2,,maldoma01
15,Danny Mendick,30,3B,-0.3,47,141,132,13,26,7,0,3,8,6,0,6,35,.197,.243,.318,.561,59,.255,53,42,3,2,1,0,0,54H/1D,,mendida01
16,Brooks Baldwin#,23,2B,0.0,33,121,114,9,24,6,0,2,8,4,0,6,31,.211,.250,.316,.566,61,.263,60,36,1,0,1,0,0,4/6,,baldwbr01
17,Bryan Ramos,22,3B,-0.2,32,108,99,13,20,4,0,3,11,0,2,7,22,.202,.252,.333,.586,66,.273,80,33,3,0,0,1,0,5/DH,,ramosbr01
18,Robbie Grossman#,34,OF,-0.1,25,85,71,6,15,4,0,0,4,2,0,13,20,.211,.329,.268,.597,74,.295,85,19,2,0,0,1,0,9/H7D,,grossro01
19,Chuckie Robinson,29,C,-0.5,26,76,70,2,9,0,0,0,0,0,0,5,20,.129,.197,.129,.326,-4,.171,0,9,1,1,0,0,0,2/H,,robinch04
20,Zach DeLoach*,25,OF,-0.1,22,75,67,10,14,5,0,1,5,0,1,8,21,.209,.293,.328,.622,78,.280,84,22,0,0,0,0,0,9/7H8D,,deloaza01
21,Jacob Amaya,25,SS,0.0,23,71,67,4,12,1,0,0,3,1,0,4,28,.179,.225,.194,.419,22,.194,15,13,3,0,0,0,0,6,,amayaja01
22,Braden Shewmake*,26,IF,-0.6,29,67,64,4,8,2,0,1,4,5,1,1,10,.125,.134,.203,.337,-5,.154,-19,13,0,0,0,2,0,6/54HD,,shewmbr01
23,Yoán Moncada#,29,3B,0.3,12,45,40,4,11,3,1,0,0,1,0,5,11,.275,.356,.400,.756,116,.337,116,16,2,0,0,0,0,5/DH,,moncayo01
24,Zach Remillard,30,UT,0.2,15,39,33,3,8,1,1,0,1,1,0,5,10,.242,.342,.333,.675,95,.331,111,11,1,0,1,0,0,/456H78D,,remilza01
25,Oscar Colás*,25,OF,0.1,13,38,33,1,9,0,0,0,4,0,1,4,10,.273,.368,.273,.641,88,.285,91,9,0,1,0,0,0,/98H,,colasos01
26,Kevin Pillar,35,OF,0.0,17,32,25,1,4,2,0,1,4,2,0,4,8,.160,.290,.360,.650,85,.303,83,9,0,1,1,1,0,/H89D,,pillake01
27,Nick Senzel,29,UT,-0.7,10,32,30,0,3,1,0,0,0,0,0,1,8,.100,.129,.133,.262,-24,.120,-41,4,0,0,1,0,0,/5D9H,,senzeni01
28,Rafael Ortega*,33,CF,-0.2,14,17,14,4,1,0,0,0,1,2,0,2,4,.071,.176,.071,.248,-25,.210,8,1,1,0,0,1,0,8/H9D,,ortegra01
29,Duke Ellis*,26,OF,-0.2,8,4,4,1,0,0,0,0,0,4,0,0,2,.000,.000,.000,.000,-100,.248,-118,0,0,0,0,0,0,/H789D,,ellisdu01
30,John Brebbia*,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,brebbjo01
31,Michael Kopech,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kopecmi01
,Team Totals,,,-6.7,162,5869,5383,507,1187,226,9,133,485,90,33,395,1403,.221,.278,.340,.618,76,.278,76,1830,116,43,18,27,8,,,-9999
